"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
3,-99.331749,33.8911934,"North America",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
2,-99.3252563,33.8875885,"North America",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
13,-99.3252563,33.8875885,"North America",3,9,288,156,994,377,2573,656,17,72,157,0,157,16,16
27.2,-99.2242813,34.4063606,"North America",1,9,258,158,2079,382,2082,689,17,71,179,0,179,16,16
4,-99.2179184,34.6972694,"North America",1,9,147,154,710,438,3429,716,16,70,202,0,202,16,16
13,-99.1638641,34.6394463,"North America",3,9,226,153,1135,411,2885,720,16,69,176,0,176,16,16
8.1,-99.1368866,34.458416,"North America",1,9,204,155,2195,393,3092,707,17,68,168,0,168,16,16
44.5,-99.1368866,34.458416,"North America",1,9,204,155,2195,393,3092,707,17,68,168,0,168,16,16
26.2,-99.1146088,34.5501404,"North America",1,9,181,153,1609,396,3097,714,17,67,172,0,172,16,16
2.3,-99.0660248,34.509388,"North America",1,9,176,155,1807,412,2774,721,17,67,172,0,172,16,16
18.2,-99.0660248,34.509388,"North America",1,9,176,155,1807,412,2774,721,17,67,172,0,172,16,16
1,-98.2016907,32.2525826,"North America",1,9,187,152,637,419,4184,795,18,67,335,1,335,19,19
5,-98.2016907,32.2525826,"North America",1,9,187,152,637,419,4184,795,18,67,335,1,335,19,19
1,-98.15522,32.1171684,"North America",6,9,239,155,521,385,3436,810,18,72,317,1,317,19,19
1,-98.0931091,32.207222,"North America",1,9,225,153,730,369,3544,802,18,73,416,1,416,19,19
110,-98.0912781,32.1195259,"North America",1,9,260,157,521,377,3873,808,18,73,292,1,292,16,16
2,-98.0739975,32.1279716,"North America",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
6,-98.0739975,32.1279716,"North America",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
