ID,p_avg,LATITUDE,LONGITUDE,Population,Accession-ID,Species,Race,Altitude,BEDROCK,BIOME,CLAY,DENSITY,DEPTH,ELEVATION,MANPP,MAPRECIP,MATEMP,PH,SAND,SLOPE,SOC,SOIL.USDA,SOIL.WRB
LANTEO207,25.14930442,20.099,-101.936,R2Teo,CIMMYTMA-029772,Zea mays ssp. parviglumis,,1705,2,3,366,123,19,1920,8191,805,18,63,310,3,310,30,30
LANTEO209,30.4309214,19.59,-103.96,R2Teo,CIMMYTMA-029774,Zea mays ssp. parviglumis,,704,1,3,290,130,8,854,7648,690,24,68,267,4,267,21,17
LANTEO211,23.93541392,20.17,-102.03,R2Teo,CIMMYTMA-029776,Zea mays ssp. parviglumis,,1912,2,3,384,134,2,1866,8509,789,19,63,203,2,203,30,30
LANTEO213,23.52528056,20.549,-102.611,R2Teo,CIMMYTMA-029778,Zea mays ssp. parviglumis,,1620,1,3,309,135,7,1593,6648,833,20,64,215,2,215,30,30
LANTEO218,18.22643373,18.48,-99.78,R2Teo,CIMMYTMA-029783,Zea mays ssp. parviglumis,,1877,3,4,312,111,32,1718,10351,1125,20,63,395,9,395,19,19
LANTEO220,22.69594748,19.226,-101.46,R2Teo,CIMMYTMA-029785,Zea mays ssp. parviglumis,,1535,2,4,308,125,18,1397,14327,1042,21,63,285,5,285,19,17
LANTEO223,34.8908898,20.085,-101.515,R2Teo,CIMMYTMA-029788,Zea mays ssp. parviglumis,,1900,11,3,377,126,55,2005,8113,736,17,62,333,2,333,30,30
LANTEO224,24.5343055,20.85,-104.42,R2Teo,CIMMYTMA-029789,Zea mays ssp. parviglumis,,935,6,3,268,126,17,1104,5511,1015,22,60,299,3,299,30,30
LANTEO226,24.34860782,20.55,-104.01,R2Teo,CIMMYTMA-029791,Zea mays ssp. parviglumis,,1236,1,3,306,138,193,1255,7280,848,21,62,178,0,178,19,19
LANTEO228,18.22734397,19.96,-104.05,R2Teo,CIMMYTMA-029793,Zea mays ssp. parviglumis,,1160,6,3,281,128,54,1292,7923,816,21,61,274,10,274,21,21
LANTEO236,12.47485625,19.212,-99.127,R2Teo,ANNA2,Zea mays ssp. mexicana,,2507,10,4,215,113,69,2853,7156,1071,13,61,381,7,381,19,19
LANTEO237,15.01914477,19.212,-98.809,R2Teo,ANNA3,Zea mays ssp. mexicana,,2353,10,4,223,124,155,2559,6162,911,15,64,340,5,340,21,25
LANTEO238,19.00347649,19.077,-98.843,R2Teo,ANNA5,Zea mays ssp. mexicana,,2492,10,4,221,126,10,2513,5527,907,15,63,313,4,313,19,19
LANTEO239,21.40146256,19.505,-98.923,R2Teo,ANNA8,Zea mays ssp. mexicana,,2253,1,14,250,142,1189,2238,4072,557,16,82,165,0,165,6,6
LANTEO241,12.8437438,18.972,-99.037,R2Teo,ANNA11,Zea mays ssp. parv_mex?,,1589,10,4,226,102,149,2308,11771,1064,17,61,633,8,633,19,19
LANTEO255,23.5333086,18.35,-99.841,R2Teo,JONAS_POP1,Zea mays ssp. parviglumis,,1649,8,3,298,124,2,1614,13750,1130,22,65,341,7,341,17,17
LANTEO264,16.19721609,19.407,-99.627,R2Teo,JONAS_POP10,Zea mays ssp. mexicana,,2581,1,14,269,125,1295,2592,7785,901,13,63,299,0,299,21,21
LANTEO277,23.11421236,19.958,-102.516,R2Teo,JONAS_POP23,Zea mays ssp. mexicana,,1854,2,3,333,131,190,1672,20595,823,19,64,237,3,237,19,19
LANTEO279,26.02895378,20.053,-101.255,R2Teo,JONAS_POP25,Zea mays ssp. mexicana,,1849,7,3,368,129,14,2012,7807,736,17,62,218,2,218,7,7
LANTEO290,24.38943071,19.035,-97.442,R2Teo,JONAS_POP36,Zea mays ssp. mexicana,,2646,7,4,233,117,242,2717,5899,737,12,67,400,4,400,30,30
LANTEO292,12.85956957,19.159,-98.185,R2Teo,JONAS_POP38,Zea mays ssp. mexicana,,2306,11,4,176,115,154,2494,6448,834,14,65,405,4,405,21,21
LANTEO297,23.5333086,18.35,-99.85,R2Teo,PI 384065,Zea mays ssp. parviglumis,,1600,8,3,298,124,2,1614,13750,1130,22,65,341,7,341,17,17
LANTEO298,23.5333086,18.35,-99.85,R2Teo,PI 384066,Zea mays ssp. parviglumis,,1700,8,3,298,124,2,1614,13750,1130,22,65,341,7,341,17,17
LANTEO299,25.15994435,18.33,-100.32,R2Teo,PI 384071,Zea mays ssp. parviglumis,,1100,3,3,236,136,370,390,10681,1072,28,68,253,3,253,17,30
LANTEO300,15.69545249,17.42,-99.5,R2Teo,Ames 21785,Zea mays ssp. parviglumis,,1300,11,4,282,117,10,1472,9815,1179,22,60,488,20,488,21,19
,,,,J2Teo,CIM11400,Zea mays ssp. mexicana,Chalco,2200,,,,,,,,,,,,,,,
,,,,J2Teo,JSG_Y_LOS_75,Zea mays ssp. mexicana,Mesa_Central,1700,,,,,,,,,,,,,,,
,,,,J2Teo,JSG_Y_RMM_450,Zea mays ssp. mexicana,Mesa_Central,1855,,,,,,,,,,,,,,,
,,,,R2Teo,CIMMYTMA-029742,Zea mays ssp. parviglumis,,1848,,,,,,,,,,,,,,,
