"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
92081639,17.32051828,26.23333,-106.95,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,4,238,128,102,2140,3462,990,15,60,313,8,313,19,19
92081572,14.36863265,19.15,-98.78333,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",10,4,223,124,258,2559,6162,911,15,64,340,5,340,25,25
92081571,23.84066885,19.46667,-98.91667,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,14,265,131,1189,2286,9503,597,16,71,247,1,247,30,21
92081211,17.32051828,26.23333,-106.95,"85802736-f762-11e1-a439-00145eb45e9a","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,4,238,128,102,2140,3462,990,15,60,313,8,313,19,19
912398434,18.20725301,18.85,-100.24,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","http://specimens.kew.org/herbarium/K000476402","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays L. subsp. mexicana (Schrad.) H.H. Iltis","L.","MX",6,3,292,129,65,1123,10221,1250,23,62,359,11,359,21,21
4073903435,14.1223596,19.966667,-100.133333,"8aa57fb1-a290-467f-a578-77ec8cbe76b6","e6c24811-5a7c-4e0b-83b4-93c6f7e2a94e","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays ssp. mexicana","(Schrad.) Iltis","MX",2,4,275,118,62,2458,10701,782,14,62,441,8,441,21,21
4073831180,23.54664085,20.168333,-101.166667,"8aa57fb1-a290-467f-a578-77ec8cbe76b6","4a97b254-9ffc-4f23-a09a-35e806467e8f","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays ssp. mexicana","(Schrad.) Iltis","MX",2,3,399,133,16,1839,6901,707,18,65,183,3,183,30,30
4031364709,18.60653333,15.65805,-91.75138,"7bd65a7a-f762-11e1-a439-00145eb45e9a","urn:catalog:MO:Tropicos:101474527","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana (Schrad.) Iltis","(Schrad.) Iltis","GT",3,4,314,109,403,1224,8609,2217,21,59,490,8,490,17,17
3987114628,22.70654985,20.370001,-102.18,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900492","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",2,3,345,133,97,1706,6225,772,19,65,223,2,223,30,30
3969172046,15.58462636,19.1,-98.699997,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900501","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",10,4,218,100,315,3092,10061,1091,11,59,693,10,693,19,19
