"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
-16.85,14.75,135.5,3.2,900,50,15,26.85,450,5.9,4176.151,1,45,12,3,10,"Arenosols"
-17,14.5,487,13.72,695,179.8276,12.5,26.26146,484.5,7.04,4587.265,1,24,12,3,12,"Lixisols"
-17,14.5,394,8.88,695,179.8276,12.5,26.26146,484.5,6.93,4587.265,1,24,12,3,12,"Lixisols"
-15.78,13.75,66.2,4.55,900,50,15,27.85,750,6.3,2586.05,2,16,12,3,10,"Lixisols"
2.1,13.5,399,0.615,494.4186,316.5116,10,29.64062,542,6.4,416.7154,1,185,12,1,10,"Lixisols"
2.1,13.5,337.5,0.18,494.4186,316.5116,37.5,29.64062,542,6.45,416.7154,1,185,12,1,10,"Lixisols"
2.1,13.5,385.5,0.08,494.4186,316.5116,95,29.64062,542,6.45,416.7154,1,185,12,1,10,"Lixisols"
2.1,13.5,235.5,0.065,494.4186,316.5116,74.5,29.64062,542,6.4,416.7154,1,185,12,1,10,"Lixisols"
2.270833,13.39722,310,0.259,889,73,7.5,29.48333,495.75,6,710.9466,0,201,9,3,10,"Arenosols"
2.270833,13.39722,314,0.173,842,123,27.5,29.48333,495.75,5.6,710.9466,0,201,9,3,10,"Arenosols"
2.270833,13.39722,294,0.138,825,138,65,29.48333,495.75,5.8,710.9466,0,201,9,3,10,"Arenosols"
30.16667,13.31667,39.78743,1.58343,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,50.68551,2.512832,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,40.43197,1.070312,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.55902,1.067342,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,39.03504,1.158364,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,42.03863,1.812737,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,27.4117,1.016978,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,30.12095,1.111548,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,33.58009,1.210693,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,33.67354,0.9655369,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,37.34256,1.166108,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,28.41624,1.14414,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,36.05814,1.44088,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,25.65299,1.028847,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.7751,1.023581,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,37.92954,1.62727,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.94194,0.8130218,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
