"x","y","p_avg","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
16.90729,48.18739,15.2,17.31400013,614.6194458,9.978892326,344.1596375,226.2642212,7.102108479,5,9,65,65535,0.97273421,198.6199799,5,1.20000004768372,0,165
16.91146,49.97445,31.3,13.09599996,578.2783203,7.315901756,354.666748,174.3652649,5.773458481,5,11,65,65535,3.663849396,429.5686646,6,1.20000004768372,0,90
16.91692,51.16523,126.6,12.26099968,550.9302979,8.564736366,520.076355,134.4298859,6.234903812,1,11,65,65535,0.491181504,134.7095947,6,3.20000004768372,19,20
16.91721,47.06696,32.2,13.61600041,642.8572388,9.809874535,377.6415405,228.4806671,6.639011383,1,10,65,65535,0.789254634,221.9769287,6,3.20000004768372,0,0
16.92338,62.21773,25.3,52.69999981,691.576416,2.997585535,562.3487549,69.67694855,4.6934762,9,3,65,65535,3.303610403,233.7515717,4,1,0,0
16.927358,61.547852,96.7,52.69999981,705.1258545,3.99704504,589.3676147,69.29183197,4.628817558,9,3,65,65535,2.650001756,146.7449646,4,1,0,0
16.93294,48.76363,22.2,15.95600009,592.6375122,9.656256676,336.2466125,224.8719482,6.880408287,1,9,65,65535,1.482582424,207.5546112,5,3.20000004768372,0,60
16.96482,40.85474,12.4,9.430999756,586.4960938,14.65741825,279.6315002,301.1712341,7.458407402,6,11,65,65535,2.091555764,288.5686646,7,1,0,150
16.972435,61.238038,30.4,52.69999981,655.3455811,4.41645813,574.4268799,77.5272522,4.623447418,9,3,65,65535,1.988325781,114.9410248,3,1,0,0
16.99846,51.32274,70,12.26099968,550.9302979,8.564736366,520.076355,134.4298859,6.234903812,1,11,65,65535,0.491181504,134.7095947,6,3.20000004768372,19,20
17.02471,48.25222,10,12.0480001,679.3139038,9.61882782,390.3121033,207.2296906,6.561071396,1,12,65,65535,1.515049361,185.6684875,6,3.20000004768372,117,296
17.02525,64.17004,37.5,52.69999981,609.4799805,0.821513891,540.4483032,62.14899826,4.724196911,9,3,65,65535,2.513191236,385.3658752,4,1,0,90
17.03609,47.3655,46.3,15.78400016,576.4905396,10.19311333,503.4927673,202.2213745,6.818534851,1,10,65,65535,0.647797099,173.1842346,6,3.20000004768372,0,0
17.038607,59.137187,10,14.64400053,555.1194458,6.235443115,515.0822754,186.8920441,4.903262615,9,6,65,65535,0.658601711,28.41833878,5,1,0,0
17.06183,59.76869,23.3,28.63399982,570.416687,5.829232693,467.4038696,203.9705811,5.052411556,9,3,65,65535,0.420048624,31.8028183,3,1,0,0
17.06583,61.8308,74.6,52.0155859,648.8554077,4.555655003,559.1932983,113.1180115,4.760727882,9,3,65,65535,1.279894361,58.19217682,4,1,0,0
