gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
92081872	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana					PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2													5290051	5290049	OCCURRENCE	USA020	USA020	1372063				CC_BY_4_0					2023-05-30T03:54:29.794Z		BASIS_OF_RECORD_INVALID
92081851	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	2-3 km north of Rio Lerma, 10 km southwest of Degollado, Municipio Degollado.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	20.36667	-102.18333			1625.0								5290051	5290049	OCCURRENCE	USA020	USA020	1363911				CC_BY_4_0					2023-05-30T03:54:30.582Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081823	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana					PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2													5290051	5290049	OCCURRENCE	USA020	USA020	1346866				CC_BY_4_0					2023-05-30T03:54:36.229Z		BASIS_OF_RECORD_INVALID
92081687	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		GT			PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2													5290051	5290049	OCCURRENCE	USA020	USA020	1331473				CC_BY_4_0					2023-05-30T03:54:22.384Z		CONTINENT_DERIVED_FROM_COUNTRY;BASIS_OF_RECORD_INVALID
92081676	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Fabrico San Jose, near Oaxaca.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	17.05	-96.71667											5290051	5290049	OCCURRENCE	USA020	USA020	1288182				CC_BY_4_0					2023-05-30T03:54:30.016Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081673	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Nobogame-Tarahumare Valley.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	26.23333	-106.95			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256070				CC_BY_4_0					2023-05-30T03:54:30.403Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081672	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Near Los Reyes, Valley of Mexico.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.35	-98.96667			2180.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256069				CC_BY_4_0					2023-05-30T03:54:30.589Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081671	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Cornfield near Amecameca, Valley of Mexico, Mexico state.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.11667	-98.75			2350.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256068				CC_BY_4_0					2023-05-30T03:54:30.580Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081670	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Copandaro.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.93333	-101.6			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256066				CC_BY_4_0					2023-05-30T03:54:30.615Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081669	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Manual Doblado.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	20.73333	-101.93333			1750.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256058				CC_BY_4_0					2023-05-30T03:54:22.383Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081668	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Edge of field near Cerro 8 km. east of Uriangato, Guanajuato.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	20.16	-101.74			1850.0								5290051	5290049	OCCURRENCE	USA020	USA020	1256057				CC_BY_4_0					2023-05-30T03:54:22.135Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
92081666	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Zea	Zea mexicana	mexicana	SUBSPECIES	Zea mays subsp. mexicana (Schrad.) Iltis	Zea mays subsp. mexicana		MX	Tepetlixpa, Tepetlixpa, Mexico State. Chalco-Amecameca region.		PRESENT		83e105d0-1e21-11de-85d0-fe7fa1df8ee2	19.01667	-98.83333			2320.0								5290051	5290049	OCCURRENCE	USA020	USA020	1246861				CC_BY_4_0					2023-05-30T03:54:22.395Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
