"","LONGITUDE","LATITUDE","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
"466",-82.3,34.3,9,5,251,136,1194,185,9970,1202,16,54,420,1,420,1,1
"467",-82.2,34.3,8,5,272,136,1087,184,7768,1194,16,54,435,1,435,1,1
"468",-82.1,34.3,9,5,250,137,1087,165,7839,1186,16,53,466,1,466,1,1
"469",-82,34.3,8,5,225,135,995,161,8389,1188,16,53,478,1,478,1,1
"470",-81.9,34.3,8,5,204,136,970,159,8331,1192,16,52,448,1,448,1,1
"471",-81.8,34.3,8,5,183,137,960,153,8307,1196,16,53,475,1,475,1,1
"472",-81.7,34.3,9,5,164,140,952,152,8000,1203,16,54,438,1,438,19,1
"473",-81.6,34.3,9,5,169,136,893,155,7879,1210,16,54,494,1,494,1,1
"474",-81.5,34.3,8,5,221,139,796,130,8168,1191,16,52,451,1,451,1,1
"475",-81.4,34.3,8,5,227,140,899,114,9617,1179,17,52,523,1,523,19,1
"476",-81.3,34.3,8,5,248,139,958,117,7467,1174,17,51,454,1,454,19,1
"477",-81.2,34.3,9,5,229,141,895,113,7847,1167,16,51,490,1,490,1,1
"478",-81.1,34.3,9,5,202,138,898,136,8798,1170,16,51,522,1,522,1,1
"479",-81,34.3,8,5,227,142,925,146,8076,1177,16,50,446,1,446,1,1
"480",-80.9,34.3,8,5,188,141,913,135,5869,1179,16,51,471,1,471,1,1
"481",-80.8,34.3,1,9,164,142,903,113,10081,1178,16,50,475,1,475,19,1
"482",-80.7,34.3,1,9,178,142,952,88,10541,1176,17,51,483,1,483,1,1
"483",-80.6,34.3,1,9,179,142,997,76,22977,1177,17,52,400,1,400,1,1
"484",-80.5,34.3,1,9,161,139,1062,77,9669,1178,17,51,460,1,460,1,1
"485",-80.4,34.3,1,9,117,142,1065,87,8375,1174,17,50,428,1,428,1,1
"486",-80.3,34.3,1,9,101,145,1126,76,8543,1169,17,49,436,1,436,1,1
"487",-80.2,34.3,1,9,103,141,1241,62,7400,1169,17,51,478,0,478,1,1
"488",-80.1,34.3,1,9,122,144,1155,60,6941,1170,17,52,381,0,381,1,1
"489",-80,34.3,1,9,130,142,1275,55,7884,1171,17,52,432,0,432,1,1
"490",-79.9,34.3,1,9,138,142,1175,49,7217,1170,17,50,442,0,442,1,1
"491",-79.8,34.3,5,9,153,144,1120,44,6819,1170,17,50,559,0,559,1,1
"492",-79.7,34.3,1,9,222,145,1028,33,8091,1170,17,49,428,0,428,1,1
"493",-79.6,34.3,1,9,295,141,1048,19,8466,1174,17,48,732,0,732,1,1
"494",-79.5,34.3,1,9,274,142,1141,17,12639,1184,17,49,732,0,732,1,1
"495",-79.4,34.3,5,9,177,141,1240,30,8327,1210,17,50,608,0,608,1,1
"496",-79.3,34.3,1,9,169,141,1238,27,8695,1218,17,51,505,0,505,1,1
"497",-79.2,34.3,5,9,147,140,1294,23,8051,1223,17,49,658,0,658,1,1
"498",-79.1,34.3,1,9,194,140,1248,19,8371,1229,17,48,809,0,809,1,1
"499",-79,34.3,1,9,132,140,1462,27,8174,1236,17,48,691,0,691,1,1
"500",-78.9,34.3,1,9,93,137,1524,31,8368,1244,17,49,506,0,506,1,1
"501",-78.8,34.3,1,9,112,139,1476,29,8194,1251,17,50,539,0,539,1,1
"502",-78.7,34.3,1,9,115,139,1286,21,8457,1261,17,52,569,0,569,1,1
"503",-78.6,34.3,1,9,168,140,1200,16,14873,1273,17,48,602,0,602,1,1
"504",-78.5,34.3,1,9,216,135,1176,13,17821,1289,17,48,630,0,630,1,1
"505",-78.4,34.3,1,9,156,137,1152,18,10047,1330,17,48,702,0,702,1,1
"506",-78.3,34.3,1,9,176,135,1227,17,11010,1349,17,49,691,0,691,1,1
"507",-78.2,34.3,1,9,163,134,1099,17,7723,1368,17,48,725,0,725,1,1
"508",-78.1,34.3,1,9,170,132,1174,12,13840,1382,17,50,875,0,875,1,1
"509",-78,34.3,1,9,184,129,1210,5,6753,1392,17,51,791,0,791,1,1
"510",-77.9,34.3,1,9,195,132,1216,8,7784,1400,17,50,875,0,875,1,1
"511",-77.8,34.3,6,9,179,131,959,8,18962,1407,17,50,942,0,942,1,1
"535",-84.3,34.4,8,5,225,125,1781,383,9078,1489,15,51,585,2,585,1,3
"536",-84.2,34.4,8,5,235,130,2081,373,7397,1487,15,51,507,2,507,1,1
"537",-84.1,34.4,9,5,235,132,2200,371,11414,1482,15,51,542,2,542,1,1
"538",-84,34.4,8,5,212,134,2203,364,8973,1472,15,52,435,2,435,1,1
"539",-83.9,34.4,8,5,227,131,2192,360,7488,1459,15,53,472,2,472,1,1
"540",-83.8,34.4,0,5,206,134,2155,361,7435,1452,15,53,477,2,477,1,1
"541",-83.7,34.4,8,5,230,128,1997,353,7881,1449,15,52,503,2,503,1,1
"542",-83.6,34.4,8,5,250,130,1947,323,9985,1441,15,52,503,2,503,1,1
"543",-83.5,34.4,8,5,225,131,1680,269,10134,1415,16,53,484,2,484,1,1
"544",-83.4,34.4,8,5,234,132,1665,245,13957,1394,16,53,431,1,431,1,1
"545",-83.3,34.4,8,5,233,137,1613,222,8343,1367,16,55,392,1,392,1,1
"546",-83.2,34.4,8,5,238,136,1539,229,8529,1354,16,55,385,1,385,1,1
"547",-83.1,34.4,8,5,209,135,1462,257,8502,1351,16,54,435,1,435,1,1
"551",-82.7,34.4,9,5,222,134,1603,211,7279,1268,16,55,436,1,436,1,1
"552",-82.6,34.4,9,5,219,136,1524,215,10707,1261,16,55,391,1,391,1,1
"553",-82.5,34.4,8,5,221,136,1611,206,7986,1240,16,54,417,1,417,1,1
"554",-82.4,34.4,8,5,215,138,1556,214,8857,1234,16,54,386,1,386,1,1
"555",-82.3,34.4,8,5,220,136,1302,194,9462,1215,16,53,392,1,392,1,1
"556",-82.2,34.4,8,5,247,135,1190,173,9858,1198,16,54,418,2,418,1,1
"557",-82.1,34.4,8,5,236,132,1115,172,7964,1194,16,54,453,1,453,1,1
"558",-82,34.4,8,5,212,136,1084,179,9861,1197,16,54,402,1,402,1,1
"559",-81.9,34.4,9,5,208,136,1044,173,9830,1199,16,54,450,1,450,1,1
"560",-81.8,34.4,8,5,208,137,1003,169,10730,1202,16,54,492,1,492,1,1
"561",-81.7,34.4,8,5,184,137,968,160,8218,1205,16,53,502,1,502,1,1
"562",-81.6,34.4,9,5,180,138,931,145,8141,1202,16,52,524,1,524,1,19
"563",-81.5,34.4,9,5,216,135,897,125,9530,1186,16,50,500,1,500,1,1
"564",-81.4,34.4,9,5,234,138,912,116,8369,1180,16,51,485,2,485,1,19
"565",-81.3,34.4,9,5,230,138,892,128,8268,1178,16,52,459,1,459,1,19
"566",-81.2,34.4,9,5,218,139,921,131,12271,1172,16,52,487,2,487,1,1
"567",-81.1,34.4,9,5,197,141,853,142,8748,1170,16,52,454,1,454,1,1
"568",-81,34.4,9,5,205,140,929,131,8950,1171,16,51,486,1,486,1,1
"569",-80.9,34.4,9,5,257,140,949,117,9435,1176,16,51,504,2,504,1,1
"570",-80.8,34.4,8,5,210,142,954,98,8305,1176,16,51,460,1,460,1,1
"571",-80.7,34.4,8,5,228,140,896,91,4087,1178,16,51,529,1,529,1,19
"572",-80.6,34.4,8,5,174,140,1000,97,8850,1184,16,50,505,1,505,1,1
"573",-80.5,34.4,1,9,144,140,1189,104,8750,1186,16,50,389,1,389,1,1
"574",-80.4,34.4,1,9,103,141,1307,86,8638,1175,17,51,311,1,311,1,1
"575",-80.3,34.4,1,9,93,144,1174,80,8529,1172,17,51,434,1,434,1,1
"576",-80.2,34.4,1,9,95,140,1223,84,10971,1175,17,50,426,1,426,1,1
"577",-80.1,34.4,1,9,139,144,1190,66,7217,1172,17,51,475,1,475,1,1
"578",-80,34.4,1,9,128,143,1302,58,7230,1170,17,51,428,0,428,1,1
"579",-79.9,34.4,1,9,125,143,1327,52,7650,1169,17,51,400,0,400,1,1
"580",-79.8,34.4,1,9,158,144,1140,48,7785,1169,17,51,535,0,535,1,1
"581",-79.7,34.4,5,9,286,144,1163,28,8207,1166,17,49,697,0,697,1,1
"582",-79.6,34.4,1,9,286,140,946,22,9665,1169,17,48,747,0,747,1,1
"583",-79.5,34.4,5,9,194,140,1216,32,7642,1176,17,50,564,0,564,1,1
"584",-79.4,34.4,5,9,176,138,1181,32,8178,1189,17,48,561,0,561,1,1
"585",-79.3,34.4,5,9,183,142,1210,31,7610,1202,17,48,505,0,505,1,1
"586",-79.2,34.4,5,9,168,139,1335,28,7928,1212,17,49,593,0,593,1,1
"587",-79.1,34.4,1,9,109,139,1478,23,9183,1221,17,49,679,0,679,1,1
"588",-79,34.4,1,9,120,142,1223,23,8702,1227,17,48,630,0,630,1,1
"589",-78.9,34.4,1,9,123,142,1380,29,8147,1236,17,49,551,0,551,1,1
"590",-78.8,34.4,1,9,133,140,1490,31,8460,1242,17,49,566,0,566,1,1
"591",-78.7,34.4,1,9,138,138,1495,25,8566,1248,17,48,642,0,642,1,1
"592",-78.6,34.4,1,9,144,139,1234,27,9037,1261,17,48,552,0,552,1,1
"593",-78.5,34.4,1,9,153,138,1120,21,7604,1274,17,48,623,0,623,1,1
"594",-78.4,34.4,1,9,177,134,1113,20,16046,1312,17,49,596,0,596,1,1
"595",-78.3,34.4,1,9,186,134,1245,13,11641,1330,17,48,751,0,751,1,1
"596",-78.2,34.4,1,9,211,133,1190,7,8277,1347,17,49,782,0,782,1,1
"597",-78.1,34.4,1,9,193,129,1067,6,7684,1362,17,50,810,0,810,1,1
"598",-78,34.4,1,9,198,131,1089,5,10003,1373,17,50,860,0,860,1,1
"599",-77.9,34.4,1,9,200,129,1178,7,8367,1383,17,50,735,0,735,1,1
"600",-77.8,34.4,6,9,199,125,884,9,8654,1393,17,50,848,0,848,1,1
"601",-77.7,34.4,6,9,193,129,895,9,11635,1401,17,49,890,0,890,1,1
"624",-84.3,34.5,8,5,181,116,1607,598,7719,1601,14,50,772,5,772,7,7
"625",-84.2,34.5,8,5,181,118,1931,510,8974,1578,14,50,765,3,765,3,3
"626",-84.1,34.5,8,5,206,126,2236,482,6025,1566,14,50,647,2,647,1,3
"627",-84,34.5,8,5,223,127,2370,430,8833,1554,14,51,620,3,620,1,1
"628",-83.9,34.5,9,5,219,125,2360,435,7612,1550,14,51,703,3,703,1,1
"629",-83.8,34.5,9,5,229,133,2286,459,8926,1556,14,52,477,3,477,1,1
"630",-83.7,34.5,8,5,223,126,2246,443,11990,1549,15,53,649,1,649,1,1
"631",-83.6,34.5,8,5,223,133,2139,418,10069,1543,15,52,541,2,541,1,1
"632",-83.5,34.5,8,5,219,130,2115,429,10556,1565,15,52,548,2,548,1,1
"633",-83.4,34.5,9,5,226,126,2122,304,7917,1507,15,52,614,2,614,1,1
"634",-83.3,34.5,9,5,208,131,1877,281,7794,1474,16,53,433,1,433,1,1
"635",-83.2,34.5,9,5,206,132,1740,253,8266,1438,16,53,488,2,488,1,1
"636",-83.1,34.5,8,5,217,133,1691,235,7220,1405,16,53,449,2,449,1,1
"637",-83,34.5,8,5,226,134,1585,246,9640,1390,16,54,470,1,470,1,1
"640",-82.7,34.5,8,5,216,133,1351,233,7849,1318,16,54,428,1,428,1,1
"641",-82.6,34.5,8,5,217,135,1271,237,51308,1310,16,54,370,1,370,1,1
"642",-82.5,34.5,8,5,234,132,1566,248,7928,1293,16,55,436,1,436,1,1
"643",-82.4,34.5,8,5,220,133,1682,229,8582,1270,16,55,459,1,459,1,1
"644",-82.3,34.5,9,5,202,135,1616,220,8809,1252,16,53,402,1,402,1,1
"645",-82.2,34.5,8,5,208,135,1353,207,8157,1235,16,54,420,1,420,1,1
"646",-82.1,34.5,9,5,212,135,1161,210,7948,1226,16,54,458,1,458,1,1
"647",-82,34.5,8,5,207,136,1103,209,8325,1220,16,54,391,1,391,1,1
"648",-81.9,34.5,8,5,225,135,1057,187,7953,1212,16,55,518,2,518,1,1
"649",-81.8,34.5,8,5,215,134,1003,162,12862,1203,16,53,469,2,469,1,1
"650",-81.7,34.5,8,5,206,136,977,145,8061,1199,16,53,465,2,465,1,1
"651",-81.6,34.5,8,5,195,135,985,140,7810,1194,16,54,495,1,495,1,1
"652",-81.5,34.5,9,5,186,137,928,127,8392,1183,16,51,501,1,501,1,1
"653",-81.4,34.5,9,5,173,137,943,145,7492,1191,16,50,481,1,481,1,1
"654",-81.3,34.5,8,5,156,138,904,164,8106,1195,16,52,444,1,444,1,1
"655",-81.2,34.5,9,5,159,137,932,166,8055,1192,16,52,486,1,486,1,1
"656",-81.1,34.5,9,5,192,137,972,153,7971,1188,16,51,530,1,530,1,1
"657",-81,34.5,4,5,201,137,917,142,10671,1185,16,50,487,1,487,1,1
"658",-80.9,34.5,9,5,192,139,1011,127,8892,1183,16,50,520,2,520,1,1
"659",-80.8,34.5,9,5,189,141,991,134,6852,1189,16,51,436,2,436,1,1
"660",-80.7,34.5,9,5,169,140,910,156,10290,1200,16,51,433,2,433,1,1
"661",-80.6,34.5,9,5,175,140,982,161,8014,1205,16,52,492,1,492,19,1
"662",-80.5,34.5,1,5,167,141,1286,136,11120,1197,16,51,469,1,469,1,19
"663",-80.4,34.5,1,9,139,135,1320,102,7571,1187,16,50,536,1,536,1,1
"664",-80.3,34.5,1,9,133,139,1193,117,8118,1192,16,50,415,2,415,1,1
"665",-80.2,34.5,1,9,109,140,1211,110,8076,1190,17,50,419,1,419,1,1
"666",-80.1,34.5,1,9,117,140,1190,97,8447,1187,17,50,408,1,408,1,1
"667",-80,34.5,1,9,131,141,1094,76,8809,1181,17,51,371,1,371,1,1
"668",-79.9,34.5,1,9,130,141,1011,55,7355,1176,17,52,460,1,460,1,1
"669",-79.8,34.5,1,9,204,143,1152,31,8181,1166,17,51,474,0,474,1,1
"670",-79.7,34.5,1,9,167,142,1084,38,8255,1164,17,49,549,0,549,1,1
"671",-79.6,34.5,5,9,144,141,1075,41,7915,1163,17,51,567,0,567,1,1
"672",-79.5,34.5,1,9,127,140,1461,50,7408,1167,17,50,473,0,473,1,1
"673",-79.4,34.5,1,9,147,140,1307,43,7874,1180,17,50,613,0,613,1,1
"674",-79.3,34.5,1,9,152,142,1569,43,7859,1193,17,50,572,0,572,1,1
"675",-79.2,34.5,1,9,156,141,1434,41,8009,1203,17,50,493,0,493,1,1
"676",-79.1,34.5,1,9,129,142,1549,40,7775,1212,17,49,537,0,537,1,1
"677",-79,34.5,1,9,109,139,1301,35,7854,1219,17,48,632,0,632,1,1
"678",-78.9,34.5,1,9,141,140,1231,30,11162,1219,17,49,470,0,470,1,1
"679",-78.8,34.5,1,9,116,141,1349,34,7982,1223,17,49,405,0,405,1,1
"680",-78.7,34.5,1,9,127,139,1622,37,8429,1227,17,49,689,0,689,1,1
"681",-78.6,34.5,1,9,141,140,1336,34,8321,1230,17,49,442,0,442,1,1
"683",-78.4,34.5,1,9,190,136,1207,15,8686,1277,17,49,661,0,661,1,1
"684",-78.3,34.5,1,9,200,133,1288,16,9313,1300,17,48,623,0,623,1,1
"685",-78.2,34.5,1,9,202,132,1069,20,10599,1321,17,48,769,0,769,1,1
"686",-78.1,34.5,1,9,210,131,1129,17,12769,1338,17,49,858,0,858,1,1
"687",-78,34.5,1,9,196,133,1078,15,8847,1353,17,50,641,0,641,1,1
"688",-77.9,34.5,1,9,219,132,1222,11,12546,1362,17,51,825,0,825,1,1
"689",-77.8,34.5,1,9,256,127,1199,8,12128,1368,17,50,956,0,956,1,1
"690",-77.7,34.5,6,9,228,126,1580,9,15639,1374,17,48,974,0,974,1,1
"691",-77.6,34.5,6,9,206,129,1068,12,14104,1385,17,48,939,0,939,1,1
"692",-77.5,34.5,6,9,196,129,958,17,14417,1391,17,48,945,0,945,1,1
"693",-77.4,34.5,6,9,194,127,1146,8,12679,1395,17,49,814,0,814,1,1
"713",-84.3,34.6,8,5,201,115,1467,640,7736,1617,13,51,794,5,794,1,1
"714",-84.2,34.6,8,5,205,109,1699,790,7194,1666,13,51,964,8,964,7,7
"715",-84.1,34.6,8,5,205,113,2328,612,7931,1620,13,50,913,6,913,7,7
"716",-84,34.6,8,5,194,114,2663,567,8015,1605,14,51,852,5,852,1,7
"717",-83.9,34.6,8,5,213,116,2789,538,7824,1587,14,51,816,4,816,1,1
"718",-83.8,34.6,8,5,228,117,2607,509,7525,1581,14,51,734,2,734,1,1
"719",-83.7,34.6,8,5,217,124,2714,483,8073,1587,14,51,767,3,767,1,1
"720",-83.6,34.6,8,5,200,126,2919,446,8151,1581,14,52,657,2,657,1,1
"721",-83.5,34.6,8,5,215,126,2818,450,10958,1616,14,53,635,1,635,1,1
"722",-83.4,34.6,8,5,237,121,2887,406,7934,1584,15,52,710,3,710,1,1
"723",-83.3,34.6,9,5,217,123,2421,265,7856,1493,15,52,656,3,656,1,1
"724",-83.2,34.6,8,5,213,128,2460,249,7487,1466,16,52,567,2,567,1,1
"725",-83.1,34.6,8,5,219,129,2228,262,9870,1454,15,53,585,2,585,1,1
"726",-83,34.6,8,5,232,131,1676,266,8132,1435,16,55,507,1,507,1,1
"727",-82.9,34.6,8,5,213,136,1592,238,8737,1391,16,54,389,2,389,1,1
"728",-82.8,34.6,9,5,214,133,1482,234,9675,1363,16,54,446,1,446,1,1
"729",-82.7,34.6,8,5,220,134,1403,247,8050,1355,16,54,384,1,384,1,1
"730",-82.6,34.6,8,5,212,133,1368,248,7724,1343,16,55,422,1,422,1,1
"731",-82.5,34.6,8,5,236,133,1349,247,7655,1316,16,54,418,1,418,1,1
"732",-82.4,34.6,8,5,215,136,1488,253,8297,1301,16,54,371,1,371,1,1
"733",-82.3,34.6,9,5,201,135,1580,234,8039,1273,16,54,419,1,419,1,1
"734",-82.2,34.6,8,5,216,135,1662,236,9616,1260,16,54,388,1,388,1,1
"735",-82.1,34.6,9,5,212,136,1379,223,10076,1244,16,55,393,1,393,1,1
"736",-82,34.6,9,5,228,135,1100,197,8215,1227,16,54,416,1,416,1,1
"737",-81.9,34.6,8,5,226,136,1124,181,8986,1220,16,55,396,1,396,1,1
"738",-81.8,34.6,8,5,243,134,1135,174,6017,1216,16,54,549,2,549,1,1
"739",-81.7,34.6,8,5,211,137,1192,163,8138,1209,16,53,455,2,455,1,1
"740",-81.6,34.6,9,5,207,137,1056,145,7940,1198,16,53,460,2,460,1,1
"741",-81.5,34.6,9,5,176,136,947,135,8738,1188,16,52,521,1,521,3,3
"742",-81.4,34.6,4,5,175,138,940,132,8495,1190,16,52,493,1,493,1,1
"743",-81.3,34.6,4,5,157,138,915,150,9943,1198,16,53,482,2,482,1,1
"744",-81.2,34.6,8,5,164,134,958,170,8213,1205,16,53,498,1,498,1,1
"745",-81.1,34.6,8,5,167,138,1036,157,8003,1199,16,52,485,1,485,1,1
"746",-81,34.6,9,5,191,141,944,140,8040,1191,16,52,465,1,465,1,1
"747",-80.9,34.6,8,5,159,139,933,141,9410,1191,16,51,481,1,481,1,1
"748",-80.8,34.6,8,5,183,140,910,158,7659,1198,16,50,424,1,424,1,1
"749",-80.7,34.6,8,5,203,139,1097,188,7762,1211,16,52,463,1,463,1,1
"750",-80.6,34.6,8,5,186,138,1038,177,8852,1212,16,51,392,1,392,1,1
"751",-80.5,34.6,8,9,183,137,1247,164,7568,1208,16,51,503,1,503,1,1
"752",-80.4,34.6,1,9,127,140,1212,122,7454,1196,16,52,418,1,418,1,1
"753",-80.3,34.6,1,9,127,141,1187,126,7055,1197,16,50,377,1,377,1,1
"754",-80.2,34.6,1,9,106,140,1205,107,8080,1192,16,50,412,1,412,1,1
"755",-80.1,34.6,1,9,128,143,1121,77,7494,1184,16,51,445,1,445,1,1
"756",-80,34.6,1,9,138,142,1081,61,8783,1180,17,51,526,1,526,1,1
"757",-79.9,34.6,1,9,169,144,1120,43,7999,1177,17,51,458,1,458,1,1
"758",-79.8,34.6,1,9,224,142,1151,33,7940,1171,17,50,619,0,619,1,1
"759",-79.7,34.6,5,9,110,139,1051,45,7057,1166,17,50,453,0,453,1,1
"760",-79.6,34.6,1,9,123,142,1153,55,6729,1163,17,52,376,0,376,1,1
"761",-79.5,34.6,1,9,147,139,1337,56,7451,1165,17,51,508,0,508,1,1
"762",-79.4,34.6,1,9,140,137,1408,50,7623,1188,17,50,538,0,538,1,1
"763",-79.3,34.6,1,9,123,140,1552,48,7742,1195,17,50,484,0,484,1,1
"764",-79.2,34.6,1,9,136,140,1397,45,7596,1205,17,50,521,0,521,1,1
"765",-79.1,34.6,1,9,133,139,1492,41,7780,1212,17,48,482,0,482,1,1
"766",-79,34.6,1,9,127,142,1328,41,61201,1217,17,49,531,0,531,1,1
"767",-78.9,34.6,1,9,106,140,1326,40,9694,1217,17,48,525,0,525,1,1
"768",-78.8,34.6,1,9,125,139,1305,37,8856,1217,17,48,706,0,706,1,1
"769",-78.7,34.6,1,9,96,137,1340,38,8403,1215,17,49,718,0,718,1,1
"770",-78.6,34.6,1,9,149,140,1369,34,7997,1214,17,48,750,0,750,3,1
"771",-78.5,34.6,1,9,199,137,1029,20,13711,1223,17,50,745,0,745,1,3
"773",-78.3,34.6,1,9,209,135,1186,20,8278,1289,17,50,520,0,520,1,1
"774",-78.2,34.6,1,9,234,133,1131,24,8161,1311,17,50,862,0,862,1,1
"775",-78.1,34.6,1,9,220,132,1171,20,10650,1329,17,49,677,0,677,1,1
"776",-78,34.6,1,9,220,131,1753,17,9137,1342,17,49,754,0,754,1,1
"777",-77.9,34.6,1,9,208,130,1044,10,9732,1349,17,48,957,0,957,3,3
"778",-77.8,34.6,1,9,245,128,959,7,15750,1356,17,49,945,0,945,3,3
"779",-77.7,34.6,6,9,241,128,1082,9,8369,1363,17,49,889,0,889,1,3
"780",-77.6,34.6,6,9,211,130,930,15,11435,1372,17,47,809,0,809,1,1
"781",-77.5,34.6,6,9,215,129,865,18,15229,1379,17,49,786,0,786,1,1
"782",-77.4,34.6,6,9,229,128,989,14,15730,1384,17,47,776,0,776,1,1
"783",-77.3,34.6,6,9,221,127,979,7,9756,1401,17,49,870,0,870,1,1
"784",-77.2,34.6,1,50,227,127,1203,1,49019,1408,17,50,600,0,600,1,1
"802",-84.3,34.7,8,5,198,113,1581,687,7601,1628,13,51,865,6,865,1,1
"803",-84.2,34.7,8,5,220,120,1492,722,7380,1636,13,50,701,7,701,7,7
"804",-84.1,34.7,8,5,196,112,1696,779,7529,1652,13,50,857,7,857,7,7
"805",-84,34.7,8,5,201,105,2219,815,7602,1673,12,50,992,6,992,7,7
"806",-83.9,34.7,8,5,213,102,2505,804,7669,1684,13,50,1093,10,1093,1,7
"807",-83.8,34.7,8,5,206,97,2477,739,7515,1678,13,50,1346,8,1346,7,1
"808",-83.7,34.7,8,5,208,115,2679,615,7932,1646,14,50,956,4,956,7,7
"809",-83.6,34.7,8,5,200,123,3120,531,7822,1636,14,51,707,4,707,1,7
"810",-83.5,34.7,8,5,226,110,3054,541,7865,1711,14,51,937,3,937,1,1
"811",-83.4,34.7,8,5,207,119,2967,450,7673,1638,15,51,823,4,823,1,1
"812",-83.3,34.7,8,5,209,119,2897,391,7709,1598,15,50,849,5,849,1,1
"813",-83.2,34.7,8,5,235,122,3017,323,8190,1548,15,51,792,3,792,1,1
"814",-83.1,34.7,9,5,231,131,2720,296,7785,1506,15,53,498,2,498,1,1
"815",-83,34.7,8,5,245,134,1871,274,8089,1467,16,54,432,1,432,1,1
"816",-82.9,34.7,8,5,233,125,1725,257,7897,1430,16,53,563,2,563,1,1
"817",-82.8,34.7,8,5,200,128,1462,253,7934,1407,16,53,567,2,567,1,1
"818",-82.7,34.7,9,5,210,129,1496,264,7860,1400,15,54,520,1,520,1,1
"819",-82.6,34.7,9,5,212,130,1514,268,10559,1389,15,54,526,1,526,1,1
"820",-82.5,34.7,9,5,240,129,1392,264,9301,1349,16,54,534,1,534,1,1
"821",-82.4,34.7,8,5,220,134,1381,270,43665,1327,16,54,372,1,372,1,1
"822",-82.3,34.7,8,5,232,136,1331,256,7440,1297,16,54,384,1,384,1,1
"823",-82.2,34.7,9,5,204,132,1459,245,8835,1275,16,53,480,1,480,1,1
"824",-82.1,34.7,8,5,216,131,1554,217,9965,1253,16,54,456,1,456,1,1
"825",-82,34.7,8,5,214,131,1193,206,10164,1243,16,53,409,1,409,1,1
"826",-81.9,34.7,8,5,251,133,1092,194,7956,1235,16,54,456,2,456,1,1
"827",-81.8,34.7,9,5,257,134,1151,177,10576,1226,16,54,439,2,439,1,1
"828",-81.7,34.7,8,5,235,133,1203,163,7567,1218,16,54,465,1,465,1,1
"829",-81.6,34.7,9,5,210,137,1179,177,6791,1219,16,54,443,1,443,1,1
"830",-81.5,34.7,8,5,197,136,1063,143,7994,1198,16,54,494,2,494,1,1
"831",-81.4,34.7,9,5,180,136,1044,163,8117,1208,16,54,491,1,491,19,19
"832",-81.3,34.7,8,5,142,137,962,160,7839,1208,16,55,439,1,439,1,1
"833",-81.2,34.7,4,5,155,138,970,166,9258,1211,16,56,492,1,492,1,1
"834",-81.1,34.7,8,5,149,138,1008,162,13031,1206,16,55,449,1,449,1,1
"835",-81,34.7,8,5,173,137,959,158,12348,1200,16,52,474,1,474,1,1
"836",-80.9,34.7,12,5,172,140,932,156,9413,1198,16,52,439,1,439,1,1
"837",-80.8,34.7,9,5,179,139,915,158,8876,1200,16,51,470,1,470,1,1
"838",-80.7,34.7,8,5,181,142,998,172,7678,1207,16,52,424,1,424,1,1
"839",-80.6,34.7,8,5,186,140,984,187,8890,1215,16,53,494,1,494,19,1
"840",-80.5,34.7,8,5,175,140,1029,162,8022,1207,16,53,424,2,424,1,19
"841",-80.4,34.7,1,9,135,136,1194,153,6776,1206,16,50,432,1,432,1,1
"842",-80.3,34.7,1,9,144,138,1300,134,7749,1201,16,52,462,1,462,1,1
"843",-80.2,34.7,1,9,134,141,1102,110,7837,1194,16,52,445,1,445,1,1
"844",-80.1,34.7,8,9,145,141,993,80,7575,1187,16,52,423,1,423,1,1
"845",-80,34.7,1,9,158,141,1057,61,7761,1183,16,52,466,1,466,1,1
"846",-79.9,34.7,1,9,170,144,1116,49,7571,1182,16,51,503,0,503,1,1
"847",-79.8,34.7,1,9,141,143,1086,52,7299,1180,16,51,412,1,412,1,1
"848",-79.7,34.7,1,9,91,142,1219,66,8009,1176,16,50,512,1,512,1,1
"849",-79.6,34.7,1,9,92,141,1246,68,7720,1166,16,51,366,0,366,1,1
"850",-79.5,34.7,1,9,122,138,1340,63,7509,1168,17,51,546,0,546,1,1
"851",-79.4,34.7,1,9,146,139,1376,59,7467,1196,17,51,586,0,586,3,3
"852",-79.3,34.7,1,9,130,139,1290,57,7452,1200,17,50,401,0,401,1,1
"853",-79.2,34.7,1,9,128,138,1320,54,7512,1204,17,49,438,0,438,1,1
"854",-79.1,34.7,1,9,129,139,1246,49,7924,1207,17,49,391,0,391,1,1
"855",-79,34.7,1,9,140,140,1267,45,6571,1210,16,49,512,0,512,1,1
"856",-78.9,34.7,1,9,113,140,1386,44,7425,1210,16,49,458,0,458,1,1
"857",-78.8,34.7,1,9,145,138,1159,38,7824,1207,16,48,723,0,723,1,1
"858",-78.7,34.7,1,9,174,139,1188,25,10861,1206,16,48,689,0,689,1,1
"859",-78.6,34.7,1,9,158,137,1043,25,14981,1208,16,49,707,0,707,1,1
"860",-78.5,34.7,1,9,150,138,1126,27,7833,1218,16,48,676,0,676,1,1
"861",-78.4,34.7,1,9,210,135,1287,26,11337,1258,17,49,541,0,541,1,1
"862",-78.3,34.7,1,9,200,134,1191,26,8178,1279,17,50,603,0,603,1,1
"863",-78.2,34.7,1,9,212,135,1132,25,7988,1299,17,50,694,0,694,1,1
"864",-78.1,34.7,1,9,236,133,1202,21,8755,1317,17,50,758,0,758,1,1
